,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
125,Djibouti,0.44025,0.46074,0.18093,126,4.369,0.36291,Sub-Saharan Africa,0.59207,0.28105,2015
126,Armenia,0.76821,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.77711,0.039,2015
127,Botswana,0.99355,0.49495,0.10461,128,4.332,0.04776,Sub-Saharan Africa,1.10464,0.12474,2015
128,Myanmar,0.27108,0.44017,0.79588,129,4.307,0.48246,Southeastern Asia,0.70905,0.19034,2015
129,Georgia,0.7419,0.40577,0.05547,130,4.297,0.72926,Central and Eastern Europe,0.38562,0.38331,2015
130,Malawi,0.01604,0.43054,0.33128,131,4.292,0.22562,Sub-Saharan Africa,0.41134,0.06977,2015
131,Sri Lanka,0.83524,0.53726,0.40828,132,4.271,0.70806,Southern Asia,1.01905,0.09179,2015
132,Cameroon,0.4225,0.49309,0.20618,133,4.252,0.23402,Sub-Saharan Africa,0.88767,0.05786,2015
133,Bulgaria,1.01216,0.30587,0.11921,134,4.218,0.76649,Central and Eastern Europe,1.10614,0.00872,2015
134,Egypt,0.8818,0.17288,0.11291,135,4.194,0.61712,Middle East and Northern Africa,0.747,0.06324,2015
135,Yemen,0.54649,0.35571,0.09131,136,4.077,0.40064,Middle East and Northern Africa,0.68093,0.07854,2015
136,Angola,0.75778,0.10384,0.12344,137,4.033,0.16683,Sub-Saharan Africa,0.8604,0.07122,2015
137,Mali,0.26074,0.38857,0.18798,138,3.995,0.20583,Sub-Saharan Africa,1.03526,0.12352,2015
138,Congo,0.67866,0.41466,0.12388,139,3.989,0.31051,Sub-Saharan Africa,0.6629,0.11686,2015
139,Comoros,0.23906,0.22917,0.17441,140,3.956,0.36315,Sub-Saharan Africa,0.79273,0.199,2015
140,Uganda,0.21102,0.45727,0.29066,141,3.931,0.33861,Sub-Saharan Africa,1.13299,0.07267,2015
141,Senegal,0.36498,0.36772,0.20843,142,3.904,0.4354,Sub-Saharan Africa,0.97619,0.10713,2015
142,Gabon,1.06024,0.31914,0.06822,143,3.896,0.43372,Sub-Saharan Africa,0.90528,0.11091,2015
