,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
690,Mongolia,0.948,0.317,0.235,83,5.285,0.667,Eastern Asia,1.531,0.038,2019
691,Nigeria,0.696,0.426,0.215,85,5.265,0.245,Sub-Saharan Africa,1.111,0.041,2019
692,Kyrgyzstan,0.551,0.508,0.3,86,5.261,0.723,Central and Eastern Europe,1.438,0.023,2019
693,Turkmenistan,1.052,0.394,0.244,87,5.247,0.657,Central and Eastern Europe,1.538,0.028,2019
694,Algeria,1.002,0.086,0.073,88,5.211,0.785,Middle East and Northern Africa,1.16,0.114,2019
695,Morocco,0.801,0.418,0.036,89,5.208,0.782,Middle East and Northern Africa,0.782,0.076,2019
696,Azerbaijan,1.043,0.351,0.035,90,5.208,0.769,Central and Eastern Europe,1.147,0.182,2019
697,Lebanon,0.987,0.216,0.166,91,5.197,0.815,Middle East and Northern Africa,1.224,0.027,2019
698,Indonesia,0.931,0.491,0.498,92,5.192,0.66,Southeastern Asia,1.203,0.028,2019
699,China,1.029,0.521,0.058,93,5.191,0.893,Eastern Asia,1.125,0.1,2019
700,Vietnam,0.741,0.543,0.147,94,5.175,0.851,Southeastern Asia,1.346,0.073,2019
701,Bhutan,0.813,0.457,0.37,95,5.082,0.604,Southern Asia,1.321,0.167,2019
702,Cameroon,0.549,0.381,0.187,96,5.044,0.331,Sub-Saharan Africa,0.91,0.037,2019
703,Bulgaria,1.092,0.311,0.081,97,5.011,0.815,Central and Eastern Europe,1.513,0.004,2019
704,Ghana,0.611,0.381,0.245,98,4.996,0.486,Sub-Saharan Africa,0.868,0.04,2019
705,Ivory Coast,0.569,0.352,0.154,99,4.944,0.232,Sub-Saharan Africa,0.808,0.09,2019
706,Nepal,0.446,0.439,0.285,100,4.913,0.677,Southern Asia,1.226,0.089,2019
707,Jordan,0.837,0.383,0.11,101,4.906,0.815,Middle East and Northern Africa,1.225,0.13,2019
708,Benin,0.393,0.349,0.175,102,4.883,0.397,Sub-Saharan Africa,0.437,0.082,2019
709,Congo,0.673,0.372,0.105,103,4.812,0.508,Sub-Saharan Africa,0.799,0.093,2019
710,Gabon,1.057,0.295,0.043,104,4.799,0.571,Sub-Saharan Africa,1.183,0.055,2019
711,Laos,0.764,0.547,0.266,105,4.796,0.551,Southeastern Asia,1.03,0.164,2019
712,South Africa,0.96,0.389,0.13,106,4.722,0.469,Sub-Saharan Africa,1.351,0.055,2019
713,Albania,0.947,0.383,0.178,107,4.719,0.874,Central and Eastern Europe,0.848,0.027,2019
714,Venezuela,0.96,0.154,0.064,108,4.707,0.805,Latin America and Caribbean,1.427,0.047,2019
715,Cambodia,0.574,0.609,0.232,109,4.7,0.637,Southeastern Asia,1.122,0.062,2019
716,Palestinian Territories,0.657,0.225,0.103,110,4.696,0.672,Middle East and Northern Africa,1.247,0.066,2019
717,Senegal,0.45,0.292,0.153,111,4.681,0.571,Sub-Saharan Africa,1.134,0.072,2019
718,Niger,0.138,0.318,0.188,114,4.628,0.366,Sub-Saharan Africa,0.774,0.102,2019
719,Burkina Faso,0.331,0.255,0.177,115,4.587,0.38,Sub-Saharan Africa,1.056,0.113,2019
720,Armenia,0.85,0.283,0.095,116,4.559,0.815,Central and Eastern Europe,1.055,0.064,2019
721,Iran,1.1,0.305,0.27,117,4.548,0.785,Middle East and Northern Africa,0.842,0.125,2019
722,Guinea,0.38,0.332,0.207,118,4.534,0.375,Sub-Saharan Africa,0.829,0.086,2019
723,Georgia,0.886,0.346,0.043,119,4.519,0.752,Central and Eastern Europe,0.666,0.164,2019
724,Kenya,0.512,0.431,0.372,121,4.509,0.581,Sub-Saharan Africa,0.983,0.053,2019
725,Mauritania,0.57,0.066,0.106,122,4.49,0.489,Sub-Saharan Africa,1.167,0.088,2019
726,Mozambique,0.204,0.494,0.197,123,4.466,0.39,Sub-Saharan Africa,0.986,0.138,2019
727,Tunisia,0.921,0.167,0.059,124,4.461,0.815,Middle East and Northern Africa,1.0,0.055,2019
728,Bangladesh,0.562,0.527,0.166,125,4.456,0.723,Southern Asia,0.928,0.143,2019
729,Iraq,1.043,0.241,0.148,126,4.437,0.574,Middle East and Northern Africa,0.98,0.089,2019
730,RD Congo,0.094,0.269,0.212,127,4.418,0.357,Sub-Saharan Africa,1.125,0.053,2019
731,Mali,0.385,0.327,0.153,128,4.39,0.308,Sub-Saharan Africa,1.105,0.052,2019
732,Sierra Leone,0.268,0.309,0.252,129,4.374,0.242,Sub-Saharan Africa,0.841,0.045,2019
733,Sri Lanka,0.949,0.47,0.244,130,4.366,0.831,Southern Asia,1.265,0.047,2019
734,Myanmar,0.71,0.525,0.566,131,4.36,0.555,Southeastern Asia,1.181,0.172,2019
735,Chad,0.35,0.174,0.198,132,4.35,0.192,Sub-Saharan Africa,0.766,0.078,2019
736,Ukraine,0.82,0.178,0.187,133,4.332,0.739,Central and Eastern Europe,1.39,0.01,2019
737,Ethiopia,0.336,0.344,0.209,134,4.286,0.532,Sub-Saharan Africa,1.033,0.1,2019
738,Swaziland,0.811,0.313,0.074,135,4.212,0.0,Sub-Saharan Africa,1.149,0.135,2019
739,Uganda,0.332,0.356,0.252,136,4.189,0.443,Sub-Saharan Africa,1.069,0.06,2019
740,Egypt,0.913,0.241,0.076,137,4.166,0.644,Middle East and Northern Africa,1.039,0.067,2019
741,Zambia,0.578,0.431,0.247,138,4.107,0.426,Sub-Saharan Africa,1.058,0.087,2019
742,Togo,0.275,0.293,0.177,139,4.085,0.41,Sub-Saharan Africa,0.572,0.085,2019
743,India,0.755,0.498,0.2,140,4.015,0.588,Southern Asia,0.765,0.085,2019
744,Liberia,0.073,0.37,0.233,141,3.975,0.443,Sub-Saharan Africa,0.922,0.033,2019
745,Comoros,0.274,0.142,0.275,142,3.973,0.505,Sub-Saharan Africa,0.757,0.078,2019
746,Madagascar,0.274,0.148,0.169,143,3.933,0.555,Sub-Saharan Africa,0.916,0.041,2019
747,Lesotho,0.489,0.359,0.107,144,3.802,0.168,Sub-Saharan Africa,1.169,0.093,2019
748,Burundi,0.046,0.22,0.176,145,3.775,0.38,Sub-Saharan Africa,0.447,0.18,2019
749,Zimbabwe,0.366,0.361,0.151,146,3.663,0.433,Sub-Saharan Africa,1.114,0.089,2019
750,Haiti,0.323,0.026,0.419,147,3.597,0.449,Latin America and Caribbean,0.688,0.11,2019
751,Botswana,1.041,0.455,0.025,148,3.488,0.538,Sub-Saharan Africa,1.145,0.1,2019
752,Syria,0.619,0.013,0.331,149,3.462,0.44,Middle East and Northern Africa,0.378,0.141,2019
753,Malawi,0.191,0.443,0.218,150,3.41,0.495,Sub-Saharan Africa,0.56,0.089,2019
754,Yemen,0.287,0.143,0.108,151,3.38,0.463,Middle East and Northern Africa,1.163,0.077,2019
755,Rwanda,0.359,0.555,0.217,152,3.334,0.614,Sub-Saharan Africa,0.711,0.411,2019
756,Tanzania,0.476,0.417,0.276,153,3.231,0.499,Sub-Saharan Africa,0.885,0.147,2019
757,Afghanistan,0.35,0.0,0.158,154,3.203,0.361,Southern Asia,0.517,0.025,2019
758,Central African Republic,0.026,0.225,0.235,155,3.083,0.105,Sub-Saharan Africa,0.0,0.035,2019
